node,community,centrality
1년,0,0.11864406779661017
약정으로,0,0.1864406779661017
2년,0,0.05084745762711865
일부,0,0.05084745762711865
"다르지만,",0,0.1864406779661017
구매,0,0.1864406779661017
기종과,0,0.0847457627118644
<STORAGE_AMOUNT>의,0,0.11864406779661017
거죠?,1,0.01694915254237288
이렇게,1,0.01694915254237288
가능하십니다.,2,0.06779661016949153
할인받아서,0,0.2033898305084746
할인되나요?,0,0.1016949152542373
동안,0,0.05084745762711865
싶은데,4,0.01694915254237288
변경은,4,0.03389830508474576
용량은,0,0.06779661016949153
걸리는,4,0.05084745762711865
여행,4,0.1016949152542373
번,5,0.13559322033898305
포인트,4,0.1016949152542373
도움이,0,0.05084745762711865
멤버십에,4,0.05084745762711865
함께,4,0.11864406779661017
그래.,4,0.0847457627118644
줄여야,5,0.05084745762711865
사용을,5,0.1016949152542373
할인해,5,0.05084745762711865
"젠장,",5,0.05084745762711865
청구된,3,0.06779661016949153
설명해주세요.,3,0.06779661016949153
설명,3,0.03389830508474576
추천합니다.,3,0.03389830508474576
그런,5,0.11864406779661017
알았어.,6,0.05084745762711865
보내드릴까요?,6,0.05084745762711865
<DISCOUNT_CHARGE>원입니다.,6,0.03389830508474576
내일,6,0.05084745762711865
된,6,0.01694915254237288
홈페이지나,6,0.05084745762711865
드리는,5,0.05084745762711865
거야?,5,0.11864406779661017
<CHARGE>원,5,0.15254237288135594
작성하셔야,6,0.03389830508474576
해지는,6,0.01694915254237288
기간이,2,0.06779661016949153
결합할인을,4,0.1016949152542373
서류와,4,0.11864406779661017
CU,5,0.06779661016949153
때,0,0.06779661016949153
아이폰,5,0.01694915254237288
"GS25,",5,0.05084745762711865
"좋아,",2,0.06779661016949153
상태,2,0.03389830508474576
어디인가요?,2,0.03389830508474576
늘어서,7,0.03389830508474576
음성통화도,7,0.03389830508474576
많아서,7,0.03389830508474576
줄,6,0.03389830508474576
음성,3,0.05084745762711865
